A,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,8450,7,5,2003,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,8,Typ,0,NA,Attchd,2003,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,208500
2,20,9600,6,8,1976,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,6,Typ,1,TA,Attchd,1976,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,181500
3,60,11250,7,5,2001,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,6,Typ,1,TA,Attchd,2001,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,223500
4,70,9550,7,5,1915,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,1,Gd,Detchd,1998,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,NA,NA,NA,0,2,2006,WD,Abnorml,140000
5,60,14260,8,5,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Gd,9,Typ,1,TA,Attchd,2000,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,NA,NA,NA,0,12,2008,WD,Normal,250000
6,50,14115,5,5,1993,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,TA,5,Typ,0,NA,Attchd,1993,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,NA,MnPrv,Shed,700,10,2009,WD,Normal,143000
7,20,10084,8,5,2004,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,1,Gd,Attchd,2004,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,307000
8,60,10382,7,6,1973,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,7,Typ,2,TA,Attchd,1973,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,NA,NA,Shed,350,11,2009,WD,Normal,200000
9,50,6120,7,5,1931,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,TA,8,Min1,2,TA,Detchd,1931,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,NA,NA,NA,0,4,2008,WD,Abnorml,129900
10,190,7420,5,6,1939,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,TA,5,Typ,2,TA,Attchd,1939,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,NA,NA,NA,0,1,2008,WD,Normal,118000
11,20,11200,5,5,1965,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,TA,5,Typ,0,NA,Detchd,1965,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,129500
12,60,11924,9,5,2005,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,NA,NA,NA,0,7,2006,New,Partial,345000
13,20,12968,5,6,1962,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,4,Typ,0,NA,Detchd,1962,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,NA,NA,NA,0,9,2008,WD,Normal,144000
14,20,10652,7,5,2006,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,NA,NA,NA,0,8,2007,New,Partial,279500
15,20,10920,6,5,1960,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,1,Fa,Attchd,1960,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,NA,GdWo,NA,0,5,2008,WD,Normal,157000
16,45,6120,7,8,1929,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,0,NA,Detchd,1991,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,NA,GdPrv,NA,0,7,2007,WD,Normal,132000
17,20,11241,6,7,1970,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,TA,5,Typ,1,TA,Attchd,1970,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,NA,NA,Shed,700,3,2010,WD,Normal,149000
18,90,10791,4,5,1967,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,TA,6,Typ,0,NA,CarPort,1967,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,NA,NA,Shed,500,10,2006,WD,Normal,90000
