Cases ,Deaths 
10520,75
6754,8
32825,138
51254,392
8720,112
489,9
39,1
1047,18
9299,149
533,12
466,14
1363,16
335,3
49638,132
2417,28
15144,62
8244,102
14064,240
28078,110
5926,
100,2
28272,231
157,6
47,1
9082,175
5911,260
24993,212
6495,123
9467,166
41989,11
10316,279
17961,173
,
13785,112
78636,166
40939,90
7702,99
248,5
2497,59
17576,103
3090,37
3142,79
17594,318
15625,60
61589,149
6094,40
12421,86
11596,75
1182,36
15893,304
146,12
12564,281
1374,21
35220,55
8125,3
45935,226
68334,253
328,18
53026,367
55028,280
12653,251
1944,21
55711,51
459,0
28255,328
49778,9
16404,115
30980,248
52758,175
504,24
17859,24
4257,20
7382,94
436,7
55243,103
2204,14
42308,298
55936,147
12768,146
62143,206
6877,50
44546,407
4775,112
524,7
27962,186
13730,670
15263,296
51520,164
41421,273
72,1
15405,69
3778,61
6867,173
12304,500
7822,91
477,4
62903,160
9950,216
26023,80
59960,258
294,4
46218,210
44698,136
33434,80
17648,330
1687,33
18374,356
54796,104
16865,479
1903,22
79573,41
70926,57
67432,70
302,8
640,11
59004,166
59120,35
26727,59
11642,125
164,4
14062,119
25817,84
27616,54
47888,56
16493,223
51384,35
24958,8
231,1
26695,266
15274,179
172,9
621,16
44972,331
130,2
1792,39
54792,90
3779,29
37297,261
24313,126
74524,371
457,7
40009,423
36795,342
6130,63
16646,276
604,21
1779,10
748,7
61384,294
22837,502
106,2
3011,9
55718,230
57788,51
60996,335
1246,18
50793,255
3113,65
17501,212
13683,314
30286,265
168,1
34414,389
34538,58
46717,430
186,1
523,3
17122,138
35174,197
6791,162
376,8
554,5
43780,171
1221,13
8597,16
20162,120
16074,12
27532,29
244,4
22290,103
716,14
5309,122
1588,19
320,2
28210,107
8012,102
27143,208
25960,71
28066,160
29536,257
833,18
49109,351
64744,463
1029,11
19146,557
32646,462
3465,44
522,15
43788,208
472,7
6979,113
18166,160
24246,184
31879,119
23888,179
10384,192
3913,5
21086,37
40,7
46515,99
11942,44
9759,249
9832,75
25771,215
37831,206
6108,204
327,6
10789,24
24217,203
29979,221
31250,361
287,3
30854,65
22350,289
113,2
3444,41
