loyalty_score,purchase_frequency
4.5,12
7,18
8,22
3,10
4.8,13
7.8,21
6.5,19
4.2,14
9,25
5.5,17
4.4,15
8.2,23
6,18
6.8,20
8.9,24
3.2,11
7,21
5,16
8.1,22
4.3,14
9.2,26
3.3,12
7.5,21
6.2,19
6.9,20
8.3,23
5.8,18
4.6,15
9,25
7.2,22
6.5,19
7.8,21
5.5,16
4,14
9.5,28
4.5,12
8.5,24
5,17
9.3,27
4.2,14
7,21
6.8,20
8.1,22
6,18
9.2,26
4.4,13
7.8,21
9,25
6.5,19
3.3,11
8.9,24
4.3,14
8,22
7.2,20
6.9,20
9.4,27
5.8,18
5.6,17
8.2,23
9.5,28
4.3,15
6,18
9,25
4,14
7.8,21
7.7,22
9,25
3.3,11
8.5,24
5,16
7,21
6.8,20
8.1,22
6,18
9.2,26
4.2,14
7.8,21
9,25
6.5,19
3.3,11
8.9,24
4.3,14
8,22
7.2,20
6.9,20
9.4,27
5.8,18
5.6,17
8.2,23
9.5,28
4.3,15
6,18
9,25
4,14
7.8,21
7.7,22
9,25
3.3,11
8.5,24
5,16
7,21
6.8,20
8.1,22
6,18
9.2,26
4.2,14
7.8,21
9,25
6.5,19
3.3,11
8.9,24
4.3,14
8,22
7.2,20
6.9,20
9.4,27
5.8,18
5.6,17
8.2,23
9.5,28
4.3,15
6,18
9,25
4,14
7.8,21
7.7,22
9,25
3.3,11
8.5,24
5,16
7,21
6.8,20
8.1,22
6,18
9.2,26
4.2,14
7.8,21
9,25
6.5,19
3.3,11
8.9,24
4.3,14
8,22
7.2,20
6.9,20
9.4,27
5.8,18
5.6,17
8.2,23
9.5,28
4.3,15
6,18
9,25
4,14
7.8,21
7.7,22
9,25
3.3,11
8.5,24
5,16
7,21
6.8,20
8.1,22
6,18
9.2,26
4.2,14
7.8,21
9,25
6.5,19
3.3,11
8.9,24
4.3,14
8,22
7.2,20
6.9,20
9.4,27
5.8,18
5.6,17
8.2,23
9.5,28
4.3,15
6,18
9,25
4,14
7.8,21
7.7,22
9,25
3.3,11
8.5,24
5,16
7,21
6.8,20
8.1,22
6,18
9.2,26
4.2,14
7.8,21
9,25
6.5,19
3.3,11
8.9,24
4.3,14
8,22
7.2,20
6.9,20
9.4,27
5.8,18
5.6,17
8.2,23
9.5,28
4.3,15
6,18
9,25
4,14
7.8,21
7.7,22
9,25
3.3,11
8.5,24
5,16
7,21
6.8,20
8.1,22
6,18
9.2,26
4.2,14
7.8,21
9,25
6.5,19
3.3,11
8.9,24
4.3,14
8,22
7.2,20
6.9,20
9.4,27
5.8,18
5.6,17
